자치구,평균소음(dB),공원수,병의원수,점포수,평균소음(dB)_점수,공원수_점수,병의원수_점수,점포수_점수,생활점수
강남구,49.59270041005420,165,3506,32,0.3878578384058010,0.8396946564885500,1.0,0.5416666666666670,0.6153848656422190
강동구,52.379503590135500,131,1010,9,0.0,0.5801526717557250,0.20484230646702800,0.0625,0.2070300321734200
강북구,47.38917583651470,87,526,12,0.6945369336772970,0.24427480916030500,0.05065307422746100,0.125,0.38116252364175600
강서구,47.8995756718529,174,1050,9,0.6235012113586610,0.9083969465648860,0.21758521822236400,0.0625,0.5561780903351670
관악구,46.53596452148560,134,788,21,0.8132839979536190,0.6030534351145040,0.1341191462249120,0.3125,0.5821415443382900
광진구,47.64320911610720,68,643,12,0.6591814412585630,0.09923664122137400,0.08792609111181910,0.125,0.3272361779810190
구로구,47.335443622920500,114,648,18,0.7020152013807210,0.45038167938931300,0.08951895508123610,0.25,0.474872479877206
금천구,45.51742160278750,55,406,15,0.9550413554855030,0.0,0.012424338961452700,0.1875,0.4207589760903460
노원구,46.92384333486030,186,844,14,0.7593003369637750,1.0,0.15195922268238300,0.16666666666666700,0.6522493903870820
도봉구,47.34564681001060,81,413,8,0.7005951563205290,0.1984732824427480,0.014654348518636500,0.041666666666666700,0.34957881544623300
동대문구,45.90028121484810,92,690,13,0.9017562499537920,0.2824427480916030,0.10289901242433900,0.14583333333333300,0.48489189231809800
동작구,49.025336091003100,87,678,6,0.4668216848476920,0.24427480916030500,0.09907613889773810,0.0,0.2699187305769420
마포구,48.19061198037220,144,875,16,0.5829957625610180,0.6793893129770990,0.1618349792927680,0.20833333333333300,0.4948652635134800
서대문구,48.583376677416,125,499,9,0.5283321008118320,0.5343511450381680,0.042051608792609100,0.0625,0.3883433447154440
서초구,50.18770665536240,180,1726,25,0.30504688218445400,0.9541984732824430,0.4329404268875440,0.3958333333333330,0.5307390042139360
성동구,46.9142939570804,105,546,8,0.7606293870561170,0.3816793893129770,0.05702453010512900,0.041666666666666700,0.4327913579601860
성북구,46.61146533075260,123,621,19,0.802776050751067,0.5190839694656490,0.0809174896463842,0.2708333333333330,0.5390940267714270
송파구,47.426081486141400,174,1442,22,0.6894005302199250,0.9083969465648860,0.3424657534246580,0.3333333333333330,0.6491925380665680
양천구,46.26312820512820,121,743,20,0.8512564334156290,0.5038167938931300,0.11978337050015900,0.2916666666666670,0.5619592819175400
영등포구,46.8446727719455,108,910,27,0.7703190280636630,0.40458015267175600,0.1729850270786880,0.4375,0.5343001597348610
용산구,45.19438857083910,107,367,15,1.0,0.3969465648854960,0.0,0.1875,0.5565839694656490
은평구,47.784883175377700,136,786,16,0.639463724995144,0.6183206106870230,0.13348200063714600,0.20833333333333300,0.4962965399345460
종로구,47.44102163673460,106,561,13,0.6873212106052730,0.3893129770992370,0.061803122013380100,0.14583333333333300,0.4270693562398850
중구,47.171719782857600,72,677,54,0.7248017315369200,0.1297709923664120,0.09875756610385470,1.0,0.5387277469350770
중랑구,47.04337946705230,108,640,14,0.7426637024950230,0.40458015267175600,0.08697037273016890,0.16666666666666700,0.4604698974058860
